Прізвище,Імя,По бат,Стать,Дата народження,Посада,Місто проживання,Адреса прож,Телефон,Email
Шутько,Сергій,Григорович,Ч,18.09.2004,Астроном,місто Обухів,"парк Лиманчик 2-й Лінія 4-та, буд. 342 кв. 2, Андрушівка, 32093",+380 52 366 70 24,pzasenko@example.com
Бабиченко,Василина,Дмитрівна,Ж,24.09.1942,Реабілітолог,хутір Новоград-Волинський,"провулок Західний 4-й, буд. 5 кв. 806, Миколаїв, 01315",+380 95 748-87-46,wpanchuk@example.com
Вдовенко,Аліна,Степанівна,Ж,11.12.1979,Різноробочий,місто Дубно,"набережна Весела, буд. 9 кв. 12, Тернівка, 34679",+380 92 827-97-33,vasylynadarahan@example.net
Даньків,Златослава,Олександрівна,Ж,08.07.1948,Машиніст,село Біла Церква,"парк Бреуса Якова, буд. 900, Новий Розділ, 14305",144-97-29,liliiaiarosh@example.com
Ватаманюк,Ігор,Юрійович,Ч,27.08.1997,Сценарист,місто Іллінці,"парк Іванівський переїзд, буд. 525 кв. 09, Бердянськ, 66744",+380 08 356-69-95,hermanvermenych@example.net
Юрченко,Йосип,Валерійович,Ч,04.08.1998,Піаніст,хутір Кам'янське,"шосе Трамвайна, буд. 4 кв. 4, Почаїв, 13123",071 291-96-91,andriiovychspas@example.com
Артимович,Любов,Сергіївна,Ж,26.03.1981,Фермер,хутір Кам'янка-Бузька,"сквер Дмитріївська, буд. 098, Красногорівка, 15487",256-63-89,venedyktromanchuk@example.com
Оніщук,Єфрем,Валерійович,Ч,30.08.1986,Лікар,село Глобине,"шосе Манежна, буд. 7 кв. 712, Жовті Води, 21511",+380 32 513-85-82,danchenkosvitlana@example.org
Чарниш,Пилип,Богданович,Ч,04.06.1974,Вчитель,селище Переяслав,"узвіз Восьмого березня 6-й, буд. 61 кв. 6, Білогірськ, 73804",009 298-20-80,iaremasomko@example.net
Хоменко,Леонід,Богданович,Ч,06.02.1998,Антрополог,місто Славута,"сквер Побратимів, буд. 9 кв. 2, Лубни, 33335",032 863-79-57,rozaliiateslia@example.net
Зінченко,Марія,Максимівна,Ж,18.06.1997,Психолог,село Ананьїв,"проспект Нафтовиків, буд. 35 кв. 128, Нове Давидково, 37489",587 63 97,avreliiarkhypenko@example.com
Артимишин,Ганна,Вікторівна,Ж,28.10.1938,Кур'єр,село Рогатин,"сквер Косовська, буд. 97, Охтирка, 66074",169 40 57,kalenychenkonestor@example.com
Давимука,Венедикт,Григорович,Ч,07.08.1997,Фольклорист,хутір Олевськ,"площа Середньофонтанська, буд. 314, Глобине, 36799",634-91-79,stanislavavramchuk@example.com
