Прізвище,Імя,По бат,Стать,Дата народження,Посада,Місто проживання,Адреса прож,Телефон,Email
Чала,Ірина,Григорівна,Ж,29.08.1972,Гицель,село Добромиль,"провулок Павлова, буд. 775 кв. 6, Куп'янськ, 32009",497 19 41,shukhevychparmen@example.com
Товстоліс,Любов,Ігорівна,Ж,21.09.1949,Державний службовець,хутір Гнівань,"проспект Адольфа Лози, буд. 752 кв. 82, Ямпіль, 70081",+380 26 406-00-62,akonoplenko@example.org
Негода,Тимофій,Максимович,Ч,23.09.1961,Фотограф,хутір Вільнянськ,"парк 13-та ст. Великого Фонтану пляж, буд. 739 кв. 5, Київ, 21120",512-87-58,onysym69@example.org
Голик,Едуард,Віталійович,Ч,12.03.1976,Державний службовець,село Шостка,"шосе Новоукраїнський, буд. 62 кв. 22, Вишневе, 21221",+380 43 134-84-37,batihustym@example.com
Петрик,Роксолана,Павлівна,Ж,13.06.1954,Біолог,селище Болград,"шосе Почаївська, буд. 639, Південне, 98525",801 10 54,xperepelytsia@example.com
Макогон,Борис,Дмитрович,Ч,30.03.1952,Провізор,село Золотоноша,"вулиця Пішонівська, буд. 51 кв. 309, Самбір, 98323",+380 91 866 60 99,liudmylahabelko@example.org
Таран,Богдан,Васильович,Ч,29.07.1972,Каскадер,село Дергачі,"парк Семінарська, буд. 11 кв. 92, Знам'янка, 14460",376-88-86,bebeshkoamvrosii@example.net
Ватаманюк,Михайло,Вікторович,Ч,06.06.1957,Візажист,село Снятин,"шосе Моторна, буд. 9 кв. 9, Ходорів, 61925",010 818-25-71,jfranko@example.org
Василашко,Максим,Васильович,Ч,10.06.1983,Кушнір,село Бучач,"провулок Аеропортівський 6-й, буд. 02 кв. 257, Миргород, 53749",+380 53 049 88 61,vysochantetiana@example.net
Романчук,Іван,Олександрович,Ч,24.08.1995,Ріелтор,місто Шахтарськ,"набережна Чумацька, буд. 7 кв. 29, Алушта, 09681",299 32 68,prokhir80@example.net
Кибкало,Борислав,Сергійович,Ч,08.11.1982,Футболіст,хутір Дніпро,"набережна Скляний 2-й, буд. 606, Косів, 82441",+380 70 678 46 85,trokhym59@example.org
Шило,Степан,Анатолійович,Ч,25.01.1995,Ріелтор,село Городенка,"провулок Карпенка-Карого, буд. 52 кв. 68, Горохів, 74859",+380 (70) 876-89-40,stussemen@example.org
Шахрай,Данило,Іванович,Ч,05.08.1962,Кінокритик,село Костянтинівка,"сквер Поперечний, буд. 9 кв. 45, Павлоград, 65919",065 777-24-78,simashkevychsvitlana@example.net
Івасюк,Борис,Васильович,Ч,04.03.1950,Диригент,хутір Нововолинськ,"провулок Злакова, буд. 5, Стрий, 77978",710 01 17,rvernyhora@example.net
Євдокименко,Зорян,Тарасович,Ч,11.07.2006,Кінорежисер,село Таврійськ,"узвіз Андрія Гулого-Гуленка, буд. 7, Радехів, 86433",+380 53 708-20-04,iefrem29@example.com
Корбут,Емілія,Василівна,Ж,19.09.1975,Режисер,село Кам'янець-Подільський,"провулок Наявний 5-й, буд. 464, Носівка, 48466",004 643-05-39,khudiakavhustyn@example.net
Свистун,Вікторія,Максимівна,Ж,16.09.1963,Кінорежисер,село Рівне,"вулиця Хутірський, буд. 22, Попасна, 72394",+380 (60) 562-16-30,rubansofiia@example.org
Якименко,Анжела,Віталіївна,Ж,26.07.1981,Ді-джей,місто Городок,"узвіз Вінницька, буд. 6 кв. 704, Тальне, 63542",+380 21 926-73-27,gkalchenko@example.com
Артимишин,Наталія,Романівна,Ж,05.01.2004,Бібліограф,місто Южноукраїнськ,"провулок Юзефа Крашевського, буд. 3 кв. 823, Ровеньки, 78611",070 588-45-92,violetta36@example.com
Їжакевич,Лариса,Андріївна,Ж,21.11.1973,Фармацевт,хутір П'ятихатки,"площа Агрономічний, буд. 46 кв. 820, Добромиль, 02736",+380 72 781-47-73,bohuslava21@example.net
Голобородько,Оксенія,Олександрівна,Ж,10.10.1977,Електротехнік,селище Гірник,"шосе Владислава Домбровського, буд. 7 кв. 8, Тиврів, 37189",001 738 57 63,ihnat81@example.com
Скоробогатько,Анастасія,Леонідівна,Ж,12.01.1978,Візажист,село Берестечко,"узвіз Лігінська, буд. 137 кв. 4, Сіверськ, 19604",043 585 71 00,solomiianosachenko@example.com
Ковалюк,Тарас,Дмитрович,Ч,29.12.1990,Фотограф,селище Шахтарськ,"набережна Саймона Літмана, буд. 66 кв. 8, Маріуполь, 50035",043 316 28 40,larysa78@example.com
Єфименко,Орест,Іванович,Ч,13.07.1983,Машиніст,місто Дніпро,"сквер Регенсбург, буд. 783, Самбір, 46348",664 52 22,boryslav95@example.net
Полтавець,Венедикт,Олександрович,Ч,30.07.1985,Правник,селище Боково-Хрустальне,"шосе Академічна, буд. 8 кв. 629, Дергачі, 34717",+380 37 671-24-81,tievtushenko@example.org
Рудько,Аліна,Іванівна,Ж,23.09.1979,Шериф,село Верхньодніпровськ,"узвіз Кам’янецький, буд. 676 кв. 4, Подільськ, 41671",+380 24 978-91-16,semen97@example.org
Якимчук,Нестор,Богданович,Ч,23.03.1970,Паблік рилейшнз,хутір Вільнянськ,"парк Проектований 4-й, буд. 755 кв. 287, Миронівка, 26573",+380 58 505-21-99,havriushenkoieva@example.org
Теличенко,Віталій,Миколайович,Ч,23.09.1945,Модельєр,місто Київ,"набережна Морський, буд. 453 кв. 74, Єнакієве, 60254",+380 (02) 674-92-23,vzinchenko@example.net
Дубенко,Валентина,Ігорівна,Ж,10.12.1941,Складальник,селище Саки,"провулок 17-та Лінія 6-й ст. Люстдорфської дороги, буд. 864 кв. 941, Тернівка, 95248",676-10-50,xdanylchuk@example.net
